sku,price
22738,199.94
22739,255.95
22740,255.95
22741,319.94
22744,199.94
22746,159.95
22748,255.95
22749,255.95
22750,319.94
22751,159.95
22755,159.95
22756,199.94
22758,511.95
22758,511.95
22759,639.94
22761,511.95
22761,511.95
22762,639.94
22764,511.95
22764,511.95
22765,639.94
22767,511.95
22767,511.95
22768,639.94
22772,255.95
22773,255.95
22774,319.94
22775,255.95
22776,255.95
22778,255.95
22779,255.95
22780,319.94
22781,255.95
22782,255.95
22783,319.94
22785,159.95
22786,159.95
22787,199.94
22789,255.95
22790,255.95
22791,319.94
22792,255.95
22793,255.95
22794,319.94
22795,639.95
22796,639.95
22797,799.94
22798,670.00
22799,670.00
22800,837.50
22804,255.95
22805,255.95
22806,319.94
22801,255.95
22802,255.95
22803,319.94
22807,255.95
22808,255.95
22809,319.94
22810,255.95
22811,255.95
22812,319.94
22828,255.95
22832,255.95
22833,319.94
22837,255.95
22838,255.95
22839,319.94
22840,255.95
22841,255.95
22842,319.94
22846,255.95
22847,255.95
22848,319.94
22822,255.95
22823,255.95
22824,319.94
22825,511.95
22826,511.95
22827,639.94
22849,255.95
22850,255.95
22851,319.94
22861,511.95
22862,511.95
22863,639.94
22864,255.95
22865,255.95
22866,319.94
22870,255.95
22871,255.95
22872,319.94
22873,255.95
22874,255.95
22875,319.94
22876,382.50
22877,382.50
22878,478.13
22879,383.92
22880,383.92
22881,479.90
22885,255.95
22886,255.95
22887,319.94
22888,255.95
22889,255.95
22890,319.94
22891,511.95
22892,511.95
22893,639.94
22897,255.95
22898,255.95
22899,319.94
22900,511.95
22901,511.95
22902,639.94
22903,511.95
22904,511.95
22905,639.94
22906,767.95
22907,767.95
22908,959.94
22909,511.95
22910,511.95
22911,639.94
22912,511.95
22913,511.95
22914,639.94
22915,511.95
22916,511.95
22917,639.94
22918,255.95
22919,255.95
22920,319.94
22921,255.95
22922,255.95
22923,319.94
22924,255.95
22925,255.95
22926,319.94
22930,255.95
22931,255.95
22932,319.94
22933,255.95
22934,255.95
22935,319.94
22936,255.95
22937,255.95
22938,319.94
22939,383.95
22941,383.95
22942,479.94
22943,255.95
22944,255.95
22945,319.94
22946,511.95
22947,511.95
